0.32	6.06572	0.348715	0.111512	1.15997	-6.89262	-0.394717	0.471581	-1.16669	1.28082	19.9781	4.00446	-0.137304	
0.328	6.06659	0.358009	0.106859	1.16351	-6.88882	-0.404038	0.478409	-1.16333	1.31285	19.977	4.00452	-0.140772	
0.336	6.06743	0.367331	0.10221	1.16705	-6.88496	-0.413331	0.485239	-1.15997	1.34489	19.9758	4.00458	-0.144243	
0.344	6.06822	0.376682	0.0975631	1.1706	-6.88105	-0.422597	0.492072	-1.1566	1.37693	19.9747	4.00463	-0.147716	
0.352	6.06899	0.386061	0.0929192	1.17414	-6.87709	-0.431836	0.498907	-1.15324	1.40896	19.9735	4.00469	-0.151191	
0.36	6.06971	0.395468	0.0882783	1.17769	-6.87307	-0.441049	0.505744	-1.14987	1.441	19.9723	4.00474	-0.154669	
0.368	6.0704	0.404904	0.0836401	1.18125	-6.869	-0.450234	0.512584	-1.1465	1.47304	19.971	4.00478	-0.158148	
0.376	6.07105	0.414368	0.0790048	1.1848	-6.86487	-0.459393	0.519427	-1.14313	1.50508	19.9697	4.00483	-0.16163	
0.384	6.07166	0.423861	0.0743724	1.18836	-6.86069	-0.468524	0.526272	-1.13975	1.53712	19.9684	4.00487	-0.165114	
0.392	6.07224	0.433382	0.0697427	1.19192	-6.85645	-0.477629	0.533119	-1.13637	1.56916	19.9671	4.00491	-0.168601	
0.4	6.07278	0.442931	0.0651159	1.19548	-6.85216	-0.486706	0.539969	-1.13299	1.6012	19.9657	4.00494	-0.17209	
0.408	6.07328	0.45251	0.060492	1.19904	-6.84781	-0.495757	0.546822	-1.12961	1.63324	19.9643	4.00498	-0.175581	
0.416	6.07375	0.462116	0.0558708	1.20261	-6.84341	-0.50478	0.553677	-1.12623	1.66528	19.9629	4.00501	-0.179075	
0.424	6.07417	0.471751	0.0512526	1.20618	-6.83895	-0.513776	0.560535	-1.12284	1.69732	19.9615	4.00503	-0.182571	
0.432	6.07457	0.481415	0.0466371	1.20975	-6.83444	-0.522746	0.567396	-1.11945	1.72936	19.96	4.00506	-0.18607	
0.44	6.07492	0.491107	0.0420245	1.21333	-6.82987	-0.531688	0.57426	-1.11606	1.7614	19.9585	4.00508	-0.189571	
0.448	6.07524	0.500828	0.0374147	1.2169	-6.82525	-0.540603	0.581126	-1.11267	1.79344	19.957	4.0051	-0.193075	
0.456	6.07552	0.510578	0.0328077	1.22048	-6.82058	-0.54949	0.587995	-1.10927	1.82548	19.9554	4.00512	-0.196581	
0.464	6.07576	0.520356	0.0282036	1.22406	-6.81584	-0.558351	0.594867	-1.10587	1.85752	19.9538	4.00513	-0.20009	
0.472	6.07597	0.530163	0.0236023	1.22765	-6.81106	-0.567184	0.601742	-1.10247	1.88956	19.9522	4.00514	-0.203602	
0.48	6.07614	0.539998	0.0190039	1.23124	-6.80622	-0.57599	0.60862	-1.09907	1.9216	19.9506	4.00515	-0.207116	
0.488	6.07628	0.549863	0.0144083	1.23483	-6.80132	-0.584769	0.615501	-1.09566	1.95364	19.9489	4.00515	-0.210633	
0.496	6.07637	0.559756	0.00981551	1.23842	-6.79637	-0.593521	0.622385	-1.09225	1.98568	19.9472	4.00516	-0.214152	
0.504	6.07643	0.569677	0.0052256	1.24201	-6.79136	-0.602245	0.629272	-1.08884	2.01773	19.9455	4.00516	-0.217675	
0.512	6.07646	0.579628	0.000638541	1.24561	-6.7863	-0.610942	0.636162	-1.08542	2.04977	19.9437	4.00515	-0.2212	
0.52	6.07644	0.589607	-0.00394567	1.24921	-6.78118	-0.619612	0.643055	-1.082	2.08181	19.9419	4.00515	-0.224728	
0.528	6.07639	0.599615	-0.00852702	1.25282	-6.77601	-0.628254	0.649951	-1.07858	2.11385	19.9401	4.00514	-0.228258	
0.536	6.07631	0.609652	-0.0131055	1.25642	-6.77078	-0.636869	0.656851	-1.07515	2.14589	19.9383	4.00512	-0.231792	
0.544	6.07618	0.619718	-0.0176811	1.26003	-6.7655	-0.645457	0.663753	-1.07172	2.17793	19.9364	4.00511	-0.235328	
0.552	6.07602	0.629813	-0.0222539	1.26364	-6.76016	-0.654017	0.670659	-1.06829	2.20997	19.9345	4.00509	-0.238867	
0.56	6.07583	0.639936	-0.0268238	1.26726	-6.75477	-0.662549	0.677568	-1.06486	2.24201	19.9326	4.00507	-0.24241	
0.568	6.07559	0.650089	-0.0313908	1.27087	-6.74932	-0.671055	0.684481	-1.06142	2.27405	19.9306	4.00504	-0.245955	
0.576	6.07532	0.66027	-0.0359549	1.27449	-6.74382	-0.679532	0.691397	-1.05798	2.30609	19.9286	4.00501	-0.249503	
0.584	6.07502	0.670481	-0.0405162	1.27811	-6.73826	-0.687982	0.698316	-1.05454	2.33813	19.9266	4.00498	-0.253054	
0.592	6.07468	0.68072	-0.0450745	1.28174	-6.73265	-0.696405	0.705239	-1.05109	2.37017	19.9246	4.00495	-0.256608	
0.6	6.0743	0.690989	-0.0496299	1.28537	-6.72698	-0.7048	0.712165	-1.04764	2.40221	19.9225	4.00491	-0.260165	
0.608	6.07388	0.701286	-0.0541825	1.289	-6.72125	-0.713167	0.719095	-1.04418	2.43425	19.9204	4.00487	-0.263726	
